,batch_id,dispatch_center_id,zone_id,bus_score,order_count,total_quantity,total_load,batch_priority,vehicle_utilization,storage_pressure,retention_penalty,forecast_opportunity,decision
0,1,DC002,1.0,0.4524704347759632,49,160,155.79999999999995,0.6958012319530145,0.6231999999999999,0.562,0.0,3.5924082113446436e-08,DISPATCH
1,2,DC002,3.0,0.3419909248890609,16,50,36.160000000000004,0.6536083426224994,0.14464000000000002,0.562,0.0,4.971186122641595e-08,RETAIN
2,3,DC002,4.0,0.4628693822743702,71,237,181.56999999999996,0.666609653747606,0.7262799999999998,0.562,0.0,3.462708151180591e-08,DISPATCH
3,4,DC002,6.0,0.42832177460928855,53,201,139.44000000000005,0.6641993439426708,0.5577600000000003,0.562,0.0,4.229353749462461e-08,RETAIN
4,5,DC002,11.0,0.5248337346671539,96,306,249.7,0.6879249353328936,0.9987999999999999,0.562,0.0,7.300641147022832e-08,DISPATCH
5,6,DC002,11.0,0.4516482425947588,1,2,249.7,0.4788235294117647,0.9987999999999999,0.562,0.0,7.300641147022832e-08,DISPATCH
6,7,DC002,11.0,0.4513600073006412,1,2,249.7,0.4780000000000001,0.9987999999999999,0.562,0.0,7.300641147022832e-08,DISPATCH
7,8,DC002,11.0,0.4467496624730549,1,2,249.7,0.46482758620689657,0.9987999999999999,0.562,0.0,7.300641147022832e-08,RETAIN
8,9,DC002,11.0,0.4446225073006411,1,5,249.7,0.45875,0.9987999999999999,0.562,0.0,7.300641147022832e-08,RETAIN
9,10,DC002,11.0,0.4413541249477,1,2,249.7,0.4494117647058824,0.9987999999999999,0.562,0.0,7.300641147022832e-08,RETAIN
10,11,DC002,11.0,0.4390761363328992,1,4,249.7,0.44290322580645164,0.9987999999999999,0.562,0.0,7.300641147022832e-08,RETAIN
11,12,DC002,11.0,0.4312933406339744,1,2,249.7,0.42066666666666663,0.9987999999999999,0.562,0.0,7.300641147022832e-08,RETAIN
12,13,DC002,11.0,0.40195474414274635,1,3,249.7,0.33684210526315783,0.9987999999999999,0.562,0.0,7.300641147022832e-08,RETAIN
13,14,DC002,12.0,0.3527139496860495,14,50,35.449999999999996,0.6858684126335669,0.14179999999999998,0.562,0.0,5.264301184675434e-08,RETAIN
14,15,DC002,13.0,0.49974208295341355,97,306,228.35,0.6650345045327661,0.9134,0.562,0.0,6.36694539586352e-08,DISPATCH
15,16,DC002,16.0,0.49927594497185324,90,308,221.5600000000001,0.6792226835400167,0.8862400000000004,0.562,0.0,5.732847380213453e-08,DISPATCH
16,17,DC002,17.0,0.36660118510865436,28,87,66.11,0.6554662402147138,0.26444,0.562,0.0,1.0335045661259073e-08,RETAIN
17,18,DC002,22.0,0.4187131235405299,53,184,128.69000000000003,0.6613174881424694,0.5147600000000001,0.562,0.0,2.6906656358957128e-08,RETAIN
18,19,DC002,23.0,0.4464029375045915,68,234,159.32999999999996,0.6703969426213467,0.6373199999999998,0.562,0.0,7.58712019537776e-08,RETAIN
19,20,DC002,24.0,0.4223718567662002,63,209,136.80999999999997,0.6532110071955656,0.54724,0.562,0.0,4.247752270826593e-08,RETAIN
20,21,DC002,25.0,0.4005403854850505,46,147,109.44,0.653395379861313,0.43776,0.562,0.0,2.5335909473350555e-08,RETAIN
21,22,DC002,27.0,0.33406467423059993,4,21,26.500000000000004,0.6530419149957016,0.10600000000000001,0.562,0.0,3.982104390780867e-08,RETAIN
22,23,DC002,31.0,0.36859787733378474,22,73,65.36000000000001,0.6628853450618698,0.26144000000000006,0.562,0.0,6.562130349728532e-08,RETAIN
23,24,DC003,1.0,0.3605852509687201,3,7,4.6,0.7210149925037482,0.0184,0.697,0.0,3.5924082113446436e-08,RETAIN
24,25,DC003,2.0,0.3439931614452721,11,34,21.849999999999998,0.6341804494558259,0.08739999999999999,0.697,0.0,4.1357330743483266e-08,RETAIN
25,26,DC003,3.0,0.4368274977405487,42,146,127.06000000000002,0.6589414079124646,0.50824,0.697,0.0,4.971186122641595e-08,RETAIN
26,27,DC003,5.0,0.5560954678237103,88,282,249.15000000000003,0.7206441762514981,0.9966000000000002,0.697,0.0,6.135685975433098e-08,DISPATCH
27,28,DC003,5.0,0.5117033394690194,1,4,249.15000000000003,0.5938095238095238,0.9966000000000002,0.697,0.0,6.135685975433098e-08,DISPATCH
28,29,DC003,5.0,0.5103700061356861,1,3,249.15000000000003,0.5900000000000001,0.9966000000000002,0.697,0.0,6.135685975433098e-08,DISPATCH
29,30,DC003,5.0,0.5053533394690194,1,2,249.15000000000003,0.5756666666666667,0.9966000000000002,0.697,0.0,6.135685975433098e-08,DISPATCH
30,31,DC003,5.0,0.5051764577485892,1,3,249.15000000000003,0.5751612903225807,0.9966000000000002,0.697,0.0,6.135685975433098e-08,DISPATCH
31,32,DC003,5.0,0.5044281456705697,1,3,249.15000000000003,0.5730232558139535,0.9966000000000002,0.697,0.0,6.135685975433098e-08,DISPATCH
32,33,DC003,5.0,0.503370006135686,1,3,249.15000000000003,0.57,0.9966000000000002,0.697,0.0,6.135685975433098e-08,DISPATCH
33,34,DC003,5.0,0.502870006135686,1,2,249.15000000000003,0.5685714285714285,0.9966000000000002,0.697,0.0,6.135685975433098e-08,DISPATCH
34,35,DC003,5.0,0.4993006281452554,1,4,249.15000000000003,0.5583732057416269,0.9966000000000002,0.697,0.0,6.135685975433098e-08,DISPATCH
35,36,DC003,5.0,0.499270006135686,1,2,249.15000000000003,0.5582857142857144,0.9966000000000002,0.697,0.0,6.135685975433098e-08,DISPATCH
